instance_label,boundary_name,boundary_class,nucleus_name,boundary_area_px,local_centroid_x,local_centroid_y,wsi_centroid_x,wsi_centroid_y,nucleus_wsi_x,nucleus_wsi_y,stroma_overlap_px,stroma_overlap_fraction
"1","T6_ClearCellBoundary_001","GT Clear cell boundary","T6_Nucleus_001","2794.7","491.2","65.5","39049.2","45250.5","39064.0","45249.5","0.0","0.0000"
"2","T6_ClearCellBoundary_002","GT Clear cell boundary","T6_Nucleus_005","11188.0","342.4","143.8","38900.4","45328.8","38929.0","45375.0","0.0","0.0000"
"3","T6_ClearCellBoundary_003","GT Clear cell boundary","T6_Nucleus_003","2558.5","458.8","170.6","39016.8","45355.6","38994.0","45365.0","0.0","0.0000"
"4","T6_ClearCellBoundary_004","GT Clear cell boundary","T6_Nucleus_002","6253.0","202.6","172.4","38760.6","45357.4","38756.0","45365.0","0.0","0.0000"
"5","T6_ClearCellBoundary_005","GT Clear cell boundary","T6_Nucleus_004","5621.5","45.6","179.7","38603.6","45364.7","38614.0","45369.0","0.0","0.0000"
"6","T6_ClearCellBoundary_006","GT Clear cell boundary","T6_Nucleus_008","6823.5","327.6","236.4","38885.6","45421.4","38868.5","45443.0","0.0","0.0000"
"7","T6_ClearCellBoundary_007","GT Clear cell boundary","T6_Nucleus_007","11690.5","451.9","242.5","39009.9","45427.5","39015.0","45438.0","0.0","0.0000"
"8","T6_ClearCellBoundary_008","GT Clear cell boundary","T6_Nucleus_006","11683.5","89.0","247.1","38647.0","45432.1","38649.0","45406.0","0.0","0.0000"
"9","T6_ClearCellBoundary_009","GT Clear cell boundary","T6_Nucleus_010","1622.0","394.4","301.4","38952.4","45486.4","38937.5","45495.5","0.0","0.0000"
"10","T6_ClearCellBoundary_010","GT Clear cell boundary","T6_Nucleus_009","2983.0","347.7","301.5","38905.7","45486.5","38933.5","45462.5","0.0","0.0000"
"11","T6_ClearCellBoundary_012","GT Clear cell boundary","T6_Nucleus_012","6367.5","275.7","319.5","38833.7","45504.5","38826.0","45513.5","0.0","0.0000"
"12","T6_ClearCellBoundary_013","GT Clear cell boundary","T6_Nucleus_014","13338.0","168.9","353.3","38726.9","45538.3","38756.0","45570.0","0.0","0.0000"
"13","T6_ClearCellBoundary_014","GT Clear cell boundary","T6_Nucleus_013","6638.0","372.8","359.5","38930.8","45544.5","38953.0","45553.5","0.0","0.0000"
"14","T6_ClearCellBoundary_015","GT Clear cell boundary","T6_Nucleus_016","8106.0","269.8","414.0","38827.8","45599.0","38808.5","45619.0","0.0","0.0000"
"15","T6_ClearCellBoundary_018","GT Clear cell boundary","T6_Nucleus_019","7281.0","448.3","465.7","39006.3","45650.7","39012.5","45677.5","0.0","0.0000"
"16","T6_ClearCellBoundary_019","GT Clear cell boundary","T6_Nucleus_018","5487.5","274.7","487.7","38832.7","45672.7","38804.5","45647.5","0.0","0.0000"
