instance_label,boundary_name,boundary_class,nucleus_name,boundary_area_px,local_centroid_x,local_centroid_y,wsi_centroid_x,wsi_centroid_y,nucleus_wsi_x,nucleus_wsi_y,stroma_overlap_px,stroma_overlap_fraction
"1","yolo_T28_ClearCellBoundary_001","GT Clear cell boundary","yolo_T28_Nucleus_003","14159.5","397.5","125.9","33709.5","45033.9","33738.5","44989.5","0.0","0.0000"
"2","yolo_T28_ClearCellBoundary_002","GT Clear cell boundary","yolo_T28_Nucleus_007","7308.1","315.6","192.9","33627.6","45100.9","33633.5","45085.5","0.0","0.0000"
"3","yolo_T28_ClearCellBoundary_004","GT Clear cell boundary","yolo_T28_Nucleus_009","7621.5","259.1","231.2","33571.1","45139.2","33588.5","45111.0","0.0","0.0000"
"4","yolo_T28_CompactCellBoundary_001","GT Compact cell boundary","yolo_T28_Nucleus_010","1405.0","40.5","272.7","33352.5","45180.7","33345.0","45176.5","0.0","0.0000"
"5","yolo_T28_ClearCellBoundary_005","GT Clear cell boundary","yolo_T28_Nucleus_014","11842.4","474.4","274.4","33786.4","45182.4","33797.5","45257.5","0.0","0.0000"
"6","yolo_T28_ClearCellBoundary_007","GT Clear cell boundary","yolo_T28_Nucleus_015","6892.5","329.6","319.6","33641.6","45227.6","33658.0","45275.5","0.0","0.0000"
"7","yolo_T28_ClearCellBoundary_008","GT Clear cell boundary","yolo_T28_Nucleus_012","7555.2","58.0","339.6","33370.0","45247.6","33423.0","45242.5","0.0","0.0000"
"8","yolo_T28_ClearCellBoundary_009","GT Clear cell boundary","yolo_T28_Nucleus_013","5545.0","410.3","347.7","33722.3","45255.7","33768.5","45251.5","0.0","0.0000"
"9","yolo_T28_ClearCellBoundary_010","GT Clear cell boundary","yolo_T28_Nucleus_016","7370.0","341.4","409.4","33653.4","45317.4","33626.3","45276.9","0.0","0.0000"
"10","yolo_T28_ClearCellBoundary_012","GT Clear cell boundary","yolo_T28_Nucleus_019","11629.0","247.5","427.3","33559.5","45335.3","33618.8","45366.7","0.0","0.0000"
"11","yolo_T28_ClearCellBoundary_013","GT Clear cell boundary","yolo_T28_Nucleus_018","12438.8","456.4","430.0","33768.4","45338.0","33731.5","45336.0","0.0","0.0000"
"12","yolo_T28_ClearCellBoundary_014","GT Clear cell boundary","yolo_T28_Nucleus_020","4265.0","54.9","478.0","33366.9","45386.0","33339.0","45386.5","0.0","0.0000"
"13","yolo_T28_ClearCellBoundary_015","GT Clear cell boundary","yolo_T28_Nucleus_021","3193.5","392.7","500.1","33704.7","45408.1","33685.5","45412.0","0.0","0.0000"
