instance_label,boundary_name,boundary_class,nucleus_name,boundary_area_px,local_centroid_x,local_centroid_y,wsi_centroid_x,wsi_centroid_y,nucleus_wsi_x,nucleus_wsi_y,stroma_overlap_px,stroma_overlap_fraction
"1","T11_ClearCellBoundary_003","GT Clear cell boundary","T11_Nucleus_007","5093.0","213.9","27.7","37235.9","45718.7","37239.5","45726.0","0.0","0.0000"
"2","T11_CompactCellBoundary_002","GT Compact cell boundary","T11_Nucleus_008","4650.0","336.2","41.6","37358.2","45732.6","37347.0","45736.0","0.0","0.0000"
"3","T11_ClearCellBoundary_004","GT Clear cell boundary","T11_Nucleus_010","3861.0","51.8","70.8","37073.8","45761.8","37079.0","45754.5","0.0","0.0000"
"4","T11_ClearCellBoundary_005","GT Clear cell boundary","T11_Nucleus_011","7621.0","188.2","88.2","37210.2","45779.2","37181.5","45768.5","0.0","0.0000"
"5","T11_ClearCellBoundary_006","GT Clear cell boundary","T11_Nucleus_016","5345.0","275.1","117.9","37297.1","45808.9","37305.0","45862.0","0.0","0.0000"
"6","T11_ClearCellBoundary_007","GT Clear cell boundary","T11_Nucleus_015","4587.5","229.6","179.9","37251.6","45870.9","37255.5","45851.0","0.0","0.0000"
"7","T11_ClearCellBoundary_008","GT Clear cell boundary","T11_Nucleus_017","2794.0","342.2","181.8","37364.2","45872.8","37362.5","45878.0","0.0","0.0000"
"8","T11_ClearCellBoundary_009","GT Clear cell boundary","T11_Nucleus_018","3047.0","467.5","196.1","37489.5","45887.1","37493.0","45902.5","0.0","0.0000"
"9","T11_ClearCellBoundary_011","GT Clear cell boundary","T11_Nucleus_019","6993.0","247.8","240.5","37269.8","45931.5","37302.5","45904.0","0.0","0.0000"
"10","T11_ClearCellBoundary_013","GT Clear cell boundary","T11_Nucleus_022","6897.7","359.8","246.3","37381.8","45937.3","37362.0","45917.5","0.0","0.0000"
"11","T11_ClearCellBoundary_015","GT Clear cell boundary","T11_Nucleus_027","5947.0","287.5","311.4","37309.5","46002.4","37327.5","45986.0","0.0","0.0000"
"12","T11_ClearCellBoundary_017","GT Clear cell boundary","T11_Nucleus_032","8082.0","180.2","339.5","37202.2","46030.5","37241.0","46030.5","0.0","0.0000"
"13","T11_ClearCellBoundary_018","GT Clear cell boundary","T11_Nucleus_030","5513.0","354.2","342.4","37376.2","46033.4","37354.5","46018.5","0.0","0.0000"
"14","T11_ClearCellBoundary_019","GT Clear cell boundary","T11_Nucleus_034","3100.0","442.6","406.6","37464.6","46097.6","37466.0","46077.5","0.0","0.0000"
"15","T11_ClearCellBoundary_020","GT Clear cell boundary","T11_Nucleus_037","5867.0","313.1","412.1","37335.1","46103.1","37320.5","46131.5","0.0","0.0000"
"16","T11_ClearCellBoundary_021","GT Clear cell boundary","T11_Nucleus_036","8810.4","233.6","417.4","37255.6","46108.4","37278.5","46130.5","0.0","0.0000"
"17","T11_CompactCellBoundary_003","GT Compact cell boundary","T11_Nucleus_038","1433.0","357.7","452.9","37379.7","46143.9","37382.5","46143.5","0.0","0.0000"
"18","T11_ClearCellBoundary_022","GT Clear cell boundary","T11_Nucleus_040","5211.0","19.6","464.2","37041.6","46155.2","37022.5","46169.0","0.0","0.0000"
"19","T11_ClearCellBoundary_023","GT Clear cell boundary","T11_Nucleus_041","4411.0","206.1","480.7","37228.1","46171.7","37270.0","46169.5","0.0","0.0000"
"20","T11_ClearCellBoundary_024","GT Clear cell boundary","T11_Nucleus_042","4272.0","82.9","490.9","37104.9","46181.9","37088.5","46183.5","0.0","0.0000"
"21","T11_ClearCellBoundary_025","GT Clear cell boundary","T11_Nucleus_043","3506.5","286.9","503.4","37308.9","46194.4","37303.5","46187.5","0.0","0.0000"
